Value	Gene
0	Solyc01g065540
0	Solyc01g087990
0	Solyc01g102300
0	Solyc01g104760
0	Solyc02g084350
0	Solyc02g085580
0	Solyc02g090220
0	Solyc03g026270
0	Solyc03g026280
0	Solyc03g097120
0	Solyc03g121660
0	Solyc04g005100
0	Solyc04g008870
0	Solyc04g009950
0	Solyc04g056310
0	Solyc04g078770
0	Solyc05g012500
0	Solyc05g015840
0	Solyc06g048630
0	Solyc06g065040
0	Solyc06g069460
0	Solyc06g071230
0	Solyc07g026680
0	Solyc07g053570
0	Solyc07g066220
0	Solyc08g005260
0	Solyc08g006020
0	Solyc08g061130
0	Solyc08g081610
0	Solyc10g018780
0	Solyc10g078700
0	Solyc10g084180
0	Solyc12g006800
0	Solyc12g007180
0	Solyc12g056510
0	Solyc12g077540
0	Solyc12g099370
2	Solyc01g065540
2	Solyc01g087990
2	Solyc01g102300
2	Solyc01g104760
2	Solyc02g084350
2	Solyc02g090220
2	Solyc03g097120
2	Solyc04g005100
2	Solyc04g008870
2	Solyc04g009950
2	Solyc04g074170
2	Solyc04g078770
2	Solyc05g007180
2	Solyc05g012500
2	Solyc05g015840
2	Solyc05g026180
2	Solyc06g048630
2	Solyc06g051840
2	Solyc06g065040
2	Solyc06g069460
2	Solyc06g071230
2	Solyc07g026680
2	Solyc08g005260
2	Solyc08g006020
2	Solyc08g061130
2	Solyc08g081610
2	Solyc10g018780
2	Solyc10g078700
2	Solyc12g006800
2	Solyc12g056510
2	Solyc12g077540
3	Solyc01g095460
3	Solyc01g102300
3	Solyc01g108080
3	Solyc02g062950
3	Solyc02g077840
3	Solyc02g084350
3	Solyc02g085580
3	Solyc03g112930
3	Solyc04g078840
3	Solyc05g006650
3	Solyc06g069460
3	Solyc06g070900
3	Solyc06g071480
3	Solyc06g074170
3	Solyc07g054220
3	Solyc07g066220
3	Solyc08g006020
3	Solyc08g080150
3	Solyc10g081350
4	Solyc08g005260
5	Solyc01g095460
5	Solyc01g102300
5	Solyc01g108080
5	Solyc02g062950
5	Solyc02g077840
5	Solyc02g084350
5	Solyc04g078840
5	Solyc05g006650
5	Solyc06g069460
5	Solyc06g074170
5	Solyc08g006020
5	Solyc08g080150
5	Solyc10g081350
6	Solyc08g005260
7	Solyc01g103050
7	Solyc02g086930
7	Solyc03g093550
7	Solyc03g113760
7	Solyc04g072900
7	Solyc08g066510
7	Solyc10g084180
7	Solyc12g009240
7	Solyc12g099370
1	Solyc05g007180
8	Solyc02g086930
9	Solyc07g063420
9	Solyc12g009240
18	Solyc07g063420
18	Solyc12g009240
19	Solyc10g047640
19	Solyc12g009240
13	Solyc04g082480
13	Solyc07g063420
13	Solyc08g077110
13	Solyc09g010820
13	Solyc12g014610
17	Solyc07g063420
10	Solyc02g092930
11	Solyc06g053350
11	Solyc06g082430
16	Solyc06g082430
16	Solyc10g047640
12	Solyc04g077980
14	Solyc04g082480
15	Solyc09g010820
